sku_id,WAPE (%),Bias (%)
FOODS_1_004_TX_2,inf,inf
FOODS_1_004_TX_3,inf,inf
FOODS_1_004_WI_1,inf,inf
FOODS_1_004_WI_2,inf,inf
FOODS_1_004_WI_3,inf,inf
FOODS_1_005_CA_1,33.5535561204486,20.179142560455727
FOODS_1_005_CA_2,54.42073249608023,-43.52962778697277
FOODS_1_005_CA_3,28.158453606332056,6.08051922765496
FOODS_1_005_CA_4,57.784023815271055,-48.328932078628874
FOODS_1_005_TX_1,37.35584497507423,-15.784635683743197
FOODS_1_005_TX_2,64.16005276338745,4.682192570659599
FOODS_1_005_TX_3,29.406708493333205,-3.143344758741714
FOODS_1_005_WI_1,23.598475244206803,-22.66556865037628
FOODS_1_005_WI_2,41.28271851036162,39.05668676807005
FOODS_1_005_WI_3,33.12308229834585,-1.677625754595655
FOODS_1_006_CA_1,19.739773026175687,-4.271752404441099
FOODS_1_006_CA_2,52.50904995857717,2.3443013133327124
FOODS_1_006_CA_3,20.909057726106415,13.36589150779542
FOODS_1_006_CA_4,21.13501809216291,11.579671381182909
FOODS_1_006_TX_1,45.00731273693506,8.306085239586293
FOODS_1_006_TX_2,40.78090536320735,-2.028979910747765
FOODS_1_006_TX_3,237.10804065564193,234.83265972190756
FOODS_1_006_WI_1,49.19604577913411,-7.8642925089539215
FOODS_1_006_WI_2,34.18275320325137,-3.9581781724888825
FOODS_1_006_WI_3,58.88963006996626,-20.698320093135592
FOODS_1_008_CA_1,85.75421021360339,83.01643113090442
FOODS_1_008_CA_2,60.18149374955956,6.818461993039024
FOODS_1_008_CA_3,275.3343254176332,239.47179218684522
FOODS_1_008_CA_4,70.7713026303139,24.433898440951076
FOODS_1_008_TX_1,152.8799796071459,50.76706579547238
FOODS_1_008_TX_2,118.02296869226348,44.12606192194072
FOODS_1_008_TX_3,93.72696575040914,17.958940465147304
FOODS_1_008_WI_1,40.851548577807286,-11.507696479004856
